Date, Close/Last, Volume, Open, High, Low
02/05/2020, $210.11, 12538150, $212.51, $212.73, $208.71
02/04/2020, $209.83, 19628890, $206.6165, $210.6, $205.2025
02/03/2020, $204.19, 15510510, $203.44, $205.14, $202.5
01/31/2020, $201.91, 31359920, $208.43, $208.69, $201.06
01/30/2020, $209.53, 48775500, $206.53, $211.43, $204.75
01/29/2020, $223.23, 33610010, $221.44, $224.2, $218.45
01/28/2020, $217.79, 13413840, $216.14, $218.74, $213.52
01/27/2020, $214.87, 13810660, $213.1, $216.06, $212.5
01/24/2020, $217.94, 11905820, $220.8, $221.78, $216.11
01/23/2020, $219.76, 11195000, $220.75, $221.485, $219.27
01/22/2020, $221.32, 12212810, $222.31, $222.75, $221.28
01/21/2020, $221.44, 14275780, $222.155, $222.37, $219.12
01/17/2020, $222.14, 15905940, $222.03, $222.29, $220.53
01/16/2020, $221.77, 10015290, $222.57, $222.63, $220.39
01/15/2020, $221.15, 10036480, $220.61, $221.68, $220.14
01/14/2020, $219.06, 13315360, $221.61, $222.38, $218.63
01/13/2020, $221.91, 14494520, $219.597, $221.97, $219.21
01/10/2020, $218.06, 12127430, $219.2, $219.88, $217.42
01/09/2020, $218.3, 12679580, $217.54, $218.38, $216.278
01/08/2020, $215.22, 13492700, $213, $216.24, $212.6121
01/07/2020, $213.06, 15111860, $212.82, $214.58, $211.75
01/06/2020, $212.6, 17073860, $206.7, $212.78, $206.52
01/03/2020, $208.67, 11197420, $207.214, $210.4, $206.95
01/02/2020, $209.78, 12090710, $206.75, $209.79, $206.27
12/31/2019, $205.25, 8962756, $203.995, $205.56, $203.6001
12/30/2019, $204.41, 10534440, $207.86, $207.9, $203.9001
12/27/2019, $208.1, 10287630, $208.6697, $208.93, $206.5875
12/26/2019, $207.79, 9368273, $205.567, $207.82, $205.31
12/24/2019, $205.12, 6046273, $206.3, $206.79, $205
12/23/2019, $206.18, 13353190, $206.7, $208.59, $205.68
12/20/2019, $206.3, 27315230, $207.48, $207.71, $203.43
12/19/2019, $206.06, 16808180, $202.78, $206.3, $202.51
12/18/2019, $202.5, 23284750, $200.09, $204.3, $200.09
12/17/2019, $198.39, 10177610, $198.84, $199, $196.13
12/16/2019, $197.92, 14922730, $195.27, $199.12, $194.81
12/13/2019, $194.11, 18806020, $196.4, $196.8, $193.17
12/12/2019, $196.75, 23766990, $202.35, $203.66, $194.1
12/11/2019, $202.26, 8041827, $200.28, $202.63, $200.28
12/10/2019, $200.87, 9485568, $201.66, $202.05, $200.15
12/09/2019, $201.34, 12013220, $200.65, $203.1418, $200.21
12/06/2019, $201.05, 12279530, $200.5, $201.57, $200.06
12/05/2019, $199.36, 9755350, $199.86, $201.29, $198.2126
12/04/2019, $198.71, 8459939, $200, $200.0288, $198.05
12/03/2019, $198.82, 13014170, $197.6, $198.93, $195.08
